athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_001,2025-12-01,CMJ,34.4,2.6,0.245
FP_002,2025-12-01,CMJ,30.9,2.46,0.253
FP_003,2025-12-01,CMJ,28.9,2.38,0.434
FP_004,2025-12-01,CMJ,28.8,2.38,0.376
FP_005,2025-12-01,CMJ,30.3,2.44,0.38
FP_006,2025-12-01,CMJ,29.1,2.39,0.301
FP_007,2025-12-01,CMJ,28.1,2.35,0.323
FP_008,2025-12-01,CMJ,37,2.69,0.296
FP_009,2025-12-01,CMJ,31,2.47,0.435
FP_010,2025-12-01,CMJ,35.9,2.65,0.354
FP_011,2025-12-01,CMJ,27.9,2.34,0.321
FP_012,2025-12-01,CMJ,35,2.62,0.331
FP_001,2025-12-08,CMJ,33.5,2.56,0.351
FP_002,2025-12-08,CMJ,30.2,2.44,0.395
FP_003,2025-12-08,CMJ,27.1,2.31,0.326
FP_004,2025-12-08,CMJ,25.9,2.25,0.392
FP_005,2025-12-08,CMJ,28.4,2.36,0.386
FP_006,2025-12-08,CMJ,21.3,2.04,0.463
FP_007,2025-12-08,CMJ,28.1,2.35,0.287
FP_008,2025-12-08,CMJ,33,2.54,0.286
FP_009,2025-12-08,CMJ,31.3,2.48,0.44
FP_010,2025-12-08,CMJ,37.4,2.71,0.354
FP_011,2025-12-08,CMJ,29.4,2.4,0.317
FP_012,2025-12-08,CMJ,34.8,2.61,0.323
FP_001,2025-12-15,CMJ,37,2.69,0.403
FP_002,2025-12-15,CMJ,28.6,2.37,0.324
FP_003,2025-12-15,CMJ,29.7,2.41,0.377
FP_004,2025-12-15,CMJ,30.9,2.46,0.345
FP_005,2025-12-15,CMJ,27.4,2.32,0.274
FP_006,2025-12-15,CMJ,25.6,2.24,0.251
FP_007,2025-12-15,CMJ,28.4,2.36,0.278
FP_008,2025-12-15,CMJ,36.7,2.68,0.368
FP_009,2025-12-15,CMJ,31.6,2.49,0.4
FP_010,2025-12-15,CMJ,36.5,2.68,0.318
FP_011,2025-12-15,CMJ,27.8,2.33,0.307
FP_012,2025-12-15,CMJ,35.6,2.64,0.335
FP_001,2025-12-22,CMJ,34.3,2.59,0.422
FP_002,2025-12-22,CMJ,30.4,2.44,0.362
FP_003,2025-12-22,CMJ,28.6,2.37,0.359
FP_004,2025-12-22,CMJ,30.7,2.45,0.316
FP_005,2025-12-22,CMJ,28.5,2.36,0.255
FP_006,2025-12-22,CMJ,25.7,2.24,0.39
FP_007,2025-12-22,CMJ,30.4,2.44,0.416
FP_008,2025-12-22,CMJ,35.7,2.65,0.377
FP_009,2025-12-22,CMJ,34.1,2.59,0.309
FP_010,2025-12-22,CMJ,36.7,2.68,0.366
FP_011,2025-12-22,CMJ,27.6,2.33,0.458
FP_012,2025-12-22,CMJ,35.9,2.66,0.456
FP_001,2025-12-29,CMJ,35.7,2.65,0.298
FP_002,2025-12-29,CMJ,31,2.47,0.416
FP_003,2025-12-29,CMJ,29,2.39,0.373
FP_004,2025-12-29,CMJ,29.5,2.41,0.386
FP_005,2025-12-29,CMJ,31.3,2.48,0.324
FP_006,2025-12-29,CMJ,27.9,2.34,0.391
FP_007,2025-12-29,CMJ,26.3,2.27,0.227
FP_008,2025-12-29,CMJ,38.2,2.74,0.454
FP_009,2025-12-29,CMJ,34.1,2.59,0.3
FP_010,2025-12-29,CMJ,32.2,2.51,0.347
FP_011,2025-12-29,CMJ,34,2.58,0.377
FP_012,2025-12-29,CMJ,35.3,2.63,0.458
FP_001,2026-01-05,CMJ,36.9,2.69,0.425
FP_002,2026-01-05,CMJ,33,2.54,0.433
FP_003,2026-01-05,CMJ,29.1,2.39,0.304
FP_004,2026-01-05,CMJ,27.8,2.34,0.373
FP_005,2026-01-05,CMJ,32.9,2.54,0.338
FP_006,2026-01-05,CMJ,26.3,2.27,0.265
FP_007,2026-01-05,CMJ,26.1,2.26,0.418
FP_008,2026-01-05,CMJ,36.9,2.69,0.331
FP_009,2026-01-05,CMJ,34,2.58,0.43
FP_010,2026-01-05,CMJ,34.9,2.61,0.378
FP_011,2026-01-05,CMJ,24.3,2.18,0.392
FP_012,2026-01-05,CMJ,31.4,2.48,0.405
FP_001,2026-01-12,CMJ,36.8,2.69,0.417
FP_002,2026-01-12,CMJ,33.8,2.58,0.439
FP_003,2026-01-12,CMJ,29.3,2.4,0.286
FP_004,2026-01-12,CMJ,28.4,2.36,0.357
FP_005,2026-01-12,CMJ,31.1,2.47,0.345
FP_006,2026-01-12,CMJ,28.8,2.38,0.284
FP_007,2026-01-12,CMJ,27.2,2.31,0.418
FP_008,2026-01-12,CMJ,34.8,2.61,0.431
FP_009,2026-01-12,CMJ,31,2.47,0.377
FP_010,2026-01-12,CMJ,34.3,2.59,0.298
FP_011,2026-01-12,CMJ,29.7,2.41,0.323
FP_012,2026-01-12,CMJ,35.5,2.64,0.332
FP_001,2026-01-19,CMJ,36.8,2.69,0.383
FP_002,2026-01-19,CMJ,30,2.42,0.326
FP_003,2026-01-19,CMJ,29.3,2.4,0.361
FP_004,2026-01-19,CMJ,29.1,2.39,0.338
FP_005,2026-01-19,CMJ,28.8,2.38,0.348
FP_006,2026-01-19,CMJ,23.9,2.16,0.373
FP_007,2026-01-19,CMJ,28.4,2.36,0.342
FP_008,2026-01-19,CMJ,31.4,2.48,0.339
FP_009,2026-01-19,CMJ,31.6,2.49,0.37
FP_010,2026-01-19,CMJ,37.4,2.71,0.426
FP_011,2026-01-19,CMJ,30.6,2.45,0.472
FP_012,2026-01-19,CMJ,36,2.66,0.314
FP_001,2026-01-26,CMJ,34.6,2.6,0.357
FP_002,2026-01-26,CMJ,30,2.43,0.398
FP_003,2026-01-26,CMJ,28.8,2.38,0.369
FP_004,2026-01-26,CMJ,30.5,2.45,0.369
FP_005,2026-01-26,CMJ,31.4,2.48,0.393
FP_006,2026-01-26,CMJ,29.4,2.4,0.316
FP_007,2026-01-26,CMJ,28.1,2.35,0.426
FP_008,2026-01-26,CMJ,36.2,2.67,0.401
FP_009,2026-01-26,CMJ,33.9,2.58,0.385
FP_010,2026-01-26,CMJ,34.9,2.62,0.434
FP_011,2026-01-26,CMJ,28.7,2.37,0.361
FP_012,2026-01-26,CMJ,37.7,2.72,0.376
FP_001,2026-02-02,CMJ,38.1,2.73,0.336
FP_002,2026-02-02,CMJ,31.6,2.49,0.382
FP_003,2026-02-02,CMJ,31.9,2.5,0.398
FP_004,2026-02-02,CMJ,32.3,2.52,0.403
FP_005,2026-02-02,CMJ,33,2.55,0.398
FP_006,2026-02-02,CMJ,26.1,2.26,0.351
FP_007,2026-02-02,CMJ,28,2.35,0.369
FP_008,2026-02-02,CMJ,36.8,2.69,0.352
FP_009,2026-02-02,CMJ,34.4,2.6,0.337
FP_010,2026-02-02,CMJ,36.8,2.69,0.456
FP_011,2026-02-02,CMJ,32,2.5,0.387
FP_012,2026-02-02,CMJ,36.9,2.69,0.392
FP_001,2026-02-09,CMJ,39.8,2.8,0.415
FP_002,2026-02-09,CMJ,38,2.73,0.313
FP_003,2026-02-09,CMJ,30.2,2.44,0.366
FP_004,2026-02-09,CMJ,30.7,2.45,0.414
FP_005,2026-02-09,CMJ,32.2,2.51,0.401
FP_006,2026-02-09,CMJ,26.7,2.29,0.252
FP_007,2026-02-09,CMJ,32.5,2.52,0.365
FP_008,2026-02-09,CMJ,36.2,2.66,0.366
FP_009,2026-02-09,CMJ,36.2,2.66,0.371
FP_010,2026-02-09,CMJ,36.3,2.67,0.347
FP_011,2026-02-09,CMJ,33.1,2.55,0.393
FP_012,2026-02-09,CMJ,33.2,2.55,0.41
FP_001,2026-02-16,CMJ,40.8,2.83,0.37
FP_002,2026-02-16,CMJ,36.3,2.67,0.378
FP_003,2026-02-16,CMJ,35.3,2.63,0.36
FP_004,2026-02-16,CMJ,29,2.39,0.32
FP_005,2026-02-16,CMJ,31.1,2.47,0.382
FP_006,2026-02-16,CMJ,28.3,2.36,0.438
FP_007,2026-02-16,CMJ,26.2,2.27,0.424
FP_008,2026-02-16,CMJ,34,2.58,0.342
FP_009,2026-02-16,CMJ,33.3,2.56,0.407
FP_010,2026-02-16,CMJ,37.1,2.7,0.413
FP_011,2026-02-16,CMJ,29,2.38,0.393
FP_012,2026-02-16,CMJ,39,2.76,0.396
