athlete_id,date,session_type,minutes,distance_m,hid_m,peak_speed_m_s,accel_hi_count,decel_hi_count,player_load
GPS_001,2025-12-01,PRACTICE,46.7,2254,365,6.07,16,22,88.7
GPS_002,2025-12-01,PRACTICE,35.8,1652,421,7.65,22,10,75
GPS_003,2025-12-01,PRACTICE,30.1,807,80,6.65,16,28,76.1
GPS_004,2025-12-01,PRACTICE,17.5,826,110,8.12,22,27,84.5
GPS_005,2025-12-01,PRACTICE,32.3,2020,270,6.94,18,19,82.5
GPS_006,2025-12-01,PRACTICE,46.1,1606,187,8.16,28,21,94.2
GPS_007,2025-12-01,PRACTICE,42.8,2897,496,6.54,20,15,93.9
GPS_008,2025-12-01,PRACTICE,30.9,2119,385,6.67,19,24,95.3
GPS_009,2025-12-01,PRACTICE,41.2,1753,232,7.3,19,14,72.8
GPS_010,2025-12-01,PRACTICE,16.6,1274,213,7.99,20,7,58.6
GPS_011,2025-12-01,PRACTICE,50.5,2068,317,7.91,19,14,78.1
GPS_012,2025-12-01,PRACTICE,32.9,1775,323,7.07,15,21,79.8
GPS_001,2025-12-02,PRACTICE,40.7,1968,491,6.72,22,22,98
GPS_002,2025-12-02,PRACTICE,46.3,3044,516,8.05,13,10,77.8
GPS_003,2025-12-02,PRACTICE,33.1,1301,160,7.42,24,25,90.5
GPS_004,2025-12-02,PRACTICE,57.4,2735,245,7.98,23,17,93.5
GPS_005,2025-12-02,PRACTICE,45.2,1667,112,9.08,18,16,70.5
GPS_006,2025-12-02,PRACTICE,46.5,2851,431,7.61,22,25,109.8
GPS_007,2025-12-02,PRACTICE,50.5,2955,762,8.61,19,31,123.6
GPS_008,2025-12-02,PRACTICE,51.7,2643,269,6.57,12,21,82.7
GPS_009,2025-12-02,PRACTICE,47.7,2102,256,7.45,16,6,60.4
GPS_010,2025-12-02,PRACTICE,66.9,2828,658,7.3,20,22,107.7
GPS_011,2025-12-02,PRACTICE,35.7,1907,275,6.28,3,13,49.9
GPS_012,2025-12-02,PRACTICE,58.4,2208,162,7.87,8,18,65.1
GPS_001,2025-12-03,PRACTICE,27.8,2059,270,6.55,11,10,58.8
GPS_002,2025-12-03,PRACTICE,36.7,1501,221,7.9,24,21,88
GPS_003,2025-12-03,PRACTICE,37,1913,244,6.87,10,23,74.7
GPS_004,2025-12-03,PRACTICE,32.6,1505,195,7.06,12,18,64.9
GPS_005,2025-12-03,PRACTICE,43.1,2147,265,7.2,9,28,83.6
GPS_006,2025-12-03,PRACTICE,48.8,2522,210,6.33,4,6,45.5
GPS_007,2025-12-03,PRACTICE,33.4,1942,349,8.34,22,18,88.1
GPS_008,2025-12-03,PRACTICE,45.8,2006,478,7.1,18,14,80
GPS_009,2025-12-03,PRACTICE,48.6,2058,293,8.21,18,30,99.9
GPS_010,2025-12-03,PRACTICE,43,2615,520,7.35,16,16,87.1
GPS_011,2025-12-03,PRACTICE,33.6,2473,293,7.36,16,19,84.5
GPS_012,2025-12-03,PRACTICE,30.4,1827,270,6.59,19,15,76
GPS_001,2025-12-04,PRACTICE,33.1,1890,352,7.94,10,7,53.2
GPS_002,2025-12-04,PRACTICE,47.5,2585,566,7.54,8,20,82
GPS_003,2025-12-04,PRACTICE,60.7,3237,435,7.13,16,12,85.2
GPS_004,2025-12-04,PRACTICE,35.7,1151,194,8.13,15,14,59.9
GPS_005,2025-12-04,PRACTICE,57.5,3362,574,7.8,12,30,111
GPS_006,2025-12-04,PRACTICE,31.1,1468,176,7.55,17,12,62.6
GPS_007,2025-12-04,PRACTICE,36,2003,420,7.51,16,19,83
GPS_008,2025-12-04,PRACTICE,41.2,2813,396,8.41,6,16,71
GPS_009,2025-12-04,PRACTICE,37.5,1913,331,7.41,18,17,79.9
GPS_010,2025-12-04,PRACTICE,43.9,2571,474,9.12,14,28,100.6
GPS_011,2025-12-04,PRACTICE,50.8,2287,208,7.87,9,16,65.6
GPS_012,2025-12-04,PRACTICE,53,3565,344,7.33,14,16,89.2
GPS_001,2025-12-05,PRACTICE,50,3375,497,8.39,12,28,106.2
GPS_002,2025-12-05,PRACTICE,26.2,1588,214,6.34,17,24,82.7
GPS_003,2025-12-05,PRACTICE,35.8,2179,234,8.49,15,19,78.6
GPS_004,2025-12-05,PRACTICE,38.3,2129,292,5.9,16,19,81.1
GPS_005,2025-12-05,PRACTICE,49.3,2782,304,8.27,13,21,86.4
GPS_006,2025-12-05,PRACTICE,25.6,1476,208,8.53,17,22,78.5
GPS_007,2025-12-05,PRACTICE,34.9,1769,307,6.16,18,26,91.4
GPS_008,2025-12-05,PRACTICE,49,2288,594,7.23,12,14,76.7
GPS_009,2025-12-05,PRACTICE,52,2566,418,6.68,2,17,64.6
GPS_010,2025-12-05,PRACTICE,45.1,2616,292,7.52,15,8,68
GPS_011,2025-12-05,PRACTICE,59.7,2892,366,6.92,19,25,104.1
GPS_012,2025-12-05,PRACTICE,16.7,537,34,7.1,29,20,79.7
GPS_001,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-08,PRACTICE,40.7,1643,293,5.76,24,10,74.8
GPS_002,2025-12-08,PRACTICE,32.7,1738,237,7.87,14,19,72.8
GPS_003,2025-12-08,PRACTICE,48.3,2485,288,6.22,12,12,68.1
GPS_004,2025-12-08,PRACTICE,49.5,2353,261,6.53,16,15,76.5
GPS_005,2025-12-08,PRACTICE,37.9,1611,196,6,11,14,58.5
GPS_006,2025-12-08,PRACTICE,46.5,1777,252,8.03,19,19,81.1
GPS_007,2025-12-08,PRACTICE,33.2,1823,331,6.55,14,17,73
GPS_008,2025-12-08,PRACTICE,42.2,1726,380,6.24,15,18,76.3
GPS_009,2025-12-08,PRACTICE,50,2208,217,5.48,14,16,72.5
GPS_010,2025-12-08,PRACTICE,44.6,2704,516,8.55,25,20,107.4
GPS_011,2025-12-08,PRACTICE,43.5,2048,256,7.16,23,17,86.9
GPS_012,2025-12-08,PRACTICE,56.1,3127,423,6.59,16,19,94.3
GPS_001,2025-12-09,PRACTICE,34.1,2160,371,6.92,21,31,108.9
GPS_002,2025-12-09,PRACTICE,50.2,2742,531,6.1,19,16,93.2
